word,count,independent,bind,len,compound_entropy,spe,rsr
将军,5,2,0.6,2,1.371,0.0,8.0
就变强,5,5,0.2,3,2.3219,-1.0,-1.0
尸人,5,5,1.0,2,2.585,-1.0,-1.0
尽头,5,5,0.2,2,2.3219,-1.0,-1.0
工厂,5,5,0.2,2,2.3219,-1.0,-1.0
师不,5,2,0.6,2,1.371,0.0,4.0
师妹,5,5,0.5,2,1.585,-1.0,-1.0
师父,5,3,0.5,2,1.5,0.0,53.0
帝皇,5,3,0.6667,2,1.5,0.0,8.0
幕后黑手,5,2,0.6,4,1.371,0.0,19.0
开始成就,5,5,0.2,4,2.3219,-1.0,-1.0
开始的诸天,5,3,0.5,5,1.5,0.0,4.0
开始长生,5,5,1.0,4,2.585,-1.0,-1.0
开局一个,5,3,1.0,4,0.9183,0.0,138.0
开局加,5,1,1.0,3,0.7219,0.0,2.0
异世之,5,5,0.2,3,2.3219,-1.0,-1.0
异界之,5,5,0.2,3,2.3219,-1.0,-1.0
张三丰,5,5,0.3333,3,1.585,-1.0,-1.0
强国,5,5,0.3333,2,1.585,-1.0,-1.0
强大,5,1,0.8,2,0.7219,0.0,1.5
强者,5,2,1.0,2,1.7925,0.0,1.0
当天,5,3,0.5,2,1.9219,0.0,1.0
当文豪,5,5,1.0,3,2.585,-1.0,-1.0
当老,5,3,0.4,2,1.9219,0.0,22.0
必须,5,3,0.5,2,1.9219,0.0,245.0
怎么了,5,5,0.2,3,2.3219,-1.0,-1.0
怎么当,5,3,0.4,3,1.9219,0.0,126.5
怪兽,5,5,0.3333,2,2.0,-1.0,-1.0
成了神,5,3,0.4,3,1.9219,0.0,245.0
成仙了,5,5,1.0,3,1.0,-1.0,-1.0
我修仙,5,5,0.3333,3,1.585,-1.0,-1.0
我叫,5,5,1.0,2,1.0,-1.0,-1.0
我在修仙界,5,3,0.4,5,1.9219,0.0,2.0
我在异界,5,5,0.2,4,2.3219,-1.0,-1.0
我在现实,5,1,0.8,4,0.7219,0.0,50.0
我在西游,5,5,0.2,4,2.3219,-1.0,-1.0
我在诸,5,1,0.8,3,0.7219,0.0,26.0
我家娘子,5,5,0.25,4,2.3219,-1.0,-1.0
我有无数,5,3,1.0,4,1.0,0.0,35.0
我本,5,5,0.2,2,2.3219,-1.0,-1.0
我爆红,5,1,0.8,3,0.7219,0.9852,103.9286
我的分身,5,5,0.2,4,2.3219,-1.0,-1.0
我的前,5,2,0.6,3,1.371,0.0,21.0
我的物品,5,2,0.6,4,1.371,0.0,8.2
我的系统,5,5,1.0,4,1.0,-1.0,-1.0
我的职业,5,3,0.4,4,1.9219,0.0,7.0
我的超能力,5,1,0.8,5,0.7219,0.0,1.5714
我真的是,5,3,1.0,4,2.2516,0.0,4.0
我能看见,5,5,0.2,4,2.3219,-1.0,-1.0
我被迫,5,1,1.0,3,0.8113,1.5613,131.75
战场,5,1,1.0,2,0.8113,1.5567,21.4286
截教,5,5,0.3333,2,2.0,-1.0,-1.0
手搓,5,2,0.6,2,1.371,0.0,126.0
打工,5,5,0.3333,2,1.585,-1.0,-1.0
打穿,5,3,0.5,2,1.5,0.0,102.0
打职业,5,3,0.6667,3,1.5219,0.0,11.0
执掌,5,3,1.0,2,1.0,0.0,26.0
投影,5,3,0.5,2,1.585,0.0,20.0
抽象,5,3,0.5,2,1.5,0.0,97.0
控制,5,1,0.8,2,0.7219,0.9183,1.8333
摸鱼,5,3,0.4,2,1.9219,0.0,1.0
操作,5,5,1.0,2,1.0,-1.0,-1.0
改造,5,5,0.25,2,2.0,-1.0,-1.0
整个,5,5,0.3333,2,1.9219,-1.0,-1.0
斗罗之我,5,2,0.6,4,1.371,0.0,139.6
新世,5,1,0.8,2,0.7219,0.0,33.0
旁门,5,2,0.5,2,1.5,1.0,63.5
无间,5,1,0.4,2,1.5219,0.0,11.5
明日,5,3,0.4,2,1.9219,0.0,138.0
是传,5,1,0.8,2,0.7219,0.9911,45.8333
是大佬,5,5,0.2,3,2.3219,-1.0,-1.0
是太,5,2,0.6,2,1.371,0.0,21.0
是我的,5,3,0.4,3,1.9219,0.0,16.0
最后的,5,3,1.0,3,1.0,0.0,2.0
有人,5,2,0.6,2,1.371,0.971,1.8
朝好,5,1,0.8,2,0.7219,0.0,3.0
术师,5,5,0.3333,2,1.585,-1.0,-1.0
杀手,5,3,0.4,2,1.585,0.0,126.0
来到,5,2,0.6,2,1.371,0.0,1.0
柯学,5,2,0.75,2,0.8113,0.0,55.5
样子,5,1,0.8,2,0.7219,0.9911,71.9444
模拟人生,5,5,0.5,4,1.585,-1.0,-1.0
武世界,5,3,1.0,3,0.9183,0.0,1.0
武当,5,2,0.75,2,0.8113,0.0,114.0
死亡,5,5,0.5,2,1.0,-1.0,-1.0
毁灭,5,5,0.25,2,2.0,-1.0,-1.0
民俗,5,5,0.5,2,1.0,-1.0,-1.0
民国,5,5,0.5,2,1.0,-1.0,-1.0
没有上限,5,3,0.4,4,1.9219,0.0,5.0
没让你,5,5,0.2,3,2.3219,-1.0,-1.0
治愈系,5,5,1.0,3,2.585,-1.0,-1.0
法兰西,5,5,0.5,3,1.0,-1.0,-1.0
法天,5,5,0.25,2,2.3219,-1.0,-1.0
法时代,5,1,0.8,3,0.7219,0.9183,43.6667
海岛,5,1,0.4,2,1.5219,0.0,71.5
深情,5,2,1.0,2,1.0,0.0,12.0
清朝,5,5,0.5,2,1.0,-1.0,-1.0
游戏世界,5,5,1.0,4,1.0,-1.0,-1.0
游戏王,5,2,0.6667,3,1.371,0.971,46.0
游戏设计,5,2,1.0,4,0.971,0.0,22.0
演义,5,3,0.4,2,1.9219,0.0,4.0
漫画家,5,5,1.0,3,2.585,-1.0,-1.0
灵气复苏,5,5,0.3333,4,1.585,-1.0,-1.0
灾变,5,3,0.6667,2,1.5,0.0,12.0
炼金,5,3,0.4,2,1.585,0.0,1.0
然后,5,3,0.4,2,1.9219,0.0,6.0
爆红了,5,1,0.8,3,0.7219,0.0,149.4286
牌了,5,1,0.8,2,0.7219,0.0,1.0
特工,5,5,0.3333,2,1.585,-1.0,-1.0
狂徒,5,5,1.0,2,0.9183,-1.0,-1.0
献上,5,3,0.4,2,1.9219,0.0,4.0
玄门,5,5,0.2,2,2.3219,-1.0,-1.0
王朝,5,3,0.4,2,1.9219,0.0,3.0
王者,5,5,0.5,2,1.0,-1.0,-1.0
